"Leiden","Lido"
"Leiden","Luxor"
"Leiden","Rejo"
"Leiden","Rex"
"Leiden","Roxy"
"Leiden","Thalia"
"Leiden","Trianon"
"Maastricht","Gala Bioscoop"
"Maastricht","Mabi Theater"
"Maastricht","Palace"
"Maastricht","Royal"
"Roermond","Royal"
"Roosendaal","Cinema Palace"
"Roosendaal","Mobile Theatre"
"Rotterdam","Américain"
"Rotterdam","Apollo (Goudseweg)"
"Rotterdam","Arena"
"Rotterdam","Asta"
"Rotterdam","Capitol"
"Rotterdam","Centraal (Binnenweg)"
"Rotterdam","Cineac Beurs (Cineac AD)"
"Rotterdam","City"
"Rotterdam","Colosseum"
"Rotterdam","Concordia Bioscoop"
"Rotterdam","Corso (Coolsingel)"
"Rotterdam","De Doelen"
"Rotterdam","De Gezelligheid"
"Rotterdam","De Samaritaan"
"Rotterdam","Flora (Oranjeboomstraat)"
"Rotterdam","Grand Theatre"
"Rotterdam","Harmonie"
"Rotterdam","Imperial Bioscope"
"Rotterdam","Juliana"
"Rotterdam","Kosmorama"
"Rotterdam","Lumière (Coolsingel)"
"Rotterdam","Lutusca"
"Rotterdam","Luxor"
"Rotterdam","Mobile Theatre"
"Rotterdam","Olympia"
"Rotterdam","Ooster Theater"
"Rotterdam","Palace (Coolsingel)"
"Rotterdam","Palace (Zomerhofstraat)"
"Rotterdam","Parisien"
"Rotterdam","Passage Bioscope"
"Rotterdam","Prinses Theater"
"Rotterdam","Rex"
"Rotterdam","Roxy"
"Rotterdam","Royal"
"Rotterdam","Scala (Hoogstraat)"
"Rotterdam","Scala (Kruiskade)"
"Rotterdam","Studio 32"
"Rotterdam","Thalia (Hoogstraat)"
"Rotterdam","Tivoli (Coolsingel)"
"Rotterdam","Tivoli (Hoogstraat)"
"Rotterdam","Transvalia"
"Rotterdam","Victoria"
"Rotterdam","WB Theater"
"Scheveningen","Kurhaus Cinema"
"Schiedam","Passage"
"Simpelveld","Witte Bioscoop"
"Sint Jacobiparochie (Friesland)","Mobile Theatre"
"Sittard","Forum"
"Sittard","Luxor"
"Steenbergen","Mobile Theatre"
"Tilburg","Apollo"
"Tilburg","City"
"Utrecht","Cinema Parisien"
"Utrecht","City"
"Utrecht","Filmac"
"Utrecht","Flora"
"Utrecht","Olympia"
"Utrecht","Palace"
"Utrecht","Rembrandt"
"Utrecht","Scala (Lange Viestraat)"
"Utrecht","Scala (Potterstraat)"
"Utrecht","Vreeburg Bioscoop"
"Vaals","Alhambra"
"Valkenburg","Hollandia"
"Venlo","Rembrandt"
"Venlo","Scala (Steenstraat)"
"Weert","Scala"
"Zierikzee","Concertzaal"
